paper_id,E_EXP,E_EXP_evidence,E_STAT,E_STAT_evidence,E_SURVEY,E_SURVEY_evidence,E_CASE,E_CASE_evidence,E_ETHNO,E_ETHNO_evidence,E_TEXT,E_TEXT_evidence,E_MODEL,E_MODEL_evidence,E_POLICYEVAL,E_POLICYEVAL_evidence,E_MIXED,E_MIXED_evidence,E_NORM,E_NORM_evidence
230,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,思想
231,0,,0,,0,,1,比较(?!.*优势),0,,0,,0,,0,,0,,1,法治
232,0,,0,,0,,1,历史(研究|比较)?,0,,0,,0,,0,,0,,0,
233,0,,0,,1,调查,0,,0,,0,,0,,0,,0,,0,
234,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
235,0,,0,,0,,1,历史(研究|比较)?,0,,0,,0,,0,,0,,0,
236,0,,0,,0,,1,案例,0,,1,内容分析,0,,0,,0,,0,
237,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,思想
238,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
239,1,\bIV\b,0,,0,,0,,0,,0,,0,,0,,0,,1,价值
240,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
241,1,干预,1,回归,0,,0,,0,,0,,0,,0,,0,,0,
242,0,,0,,0,,1,比较(?!.*优势),0,,0,,0,,0,,0,,1,法理
243,0,,0,,0,,1,历史(研究|比较)?,0,,0,,0,,0,,0,,1,原则
244,0,,0,,0,,1,历史(研究|比较)?,0,,0,,0,,0,,0,,0,
245,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
246,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
247,0,,0,,0,,1,案例,0,,0,,0,,0,,0,,1,价值
248,0,,0,,1,调查,0,,0,,0,,0,,0,,0,,0,
249,0,,0,,0,,0,,0,,0,,0,,1,政策评估,0,,0,
250,0,,0,,0,,1,案例,0,,0,,0,,0,,0,,0,
251,0,,0,,0,,1,案例,0,,0,,0,,0,,0,,0,
252,0,,0,,1,调查,1,案例,0,,0,,0,,0,,0,,1,思想
253,0,,0,,0,,1,案例,0,,0,,0,,0,,0,,0,
254,0,,1,聚类,0,,0,,0,,0,,0,,0,,0,,0,
255,0,,0,,0,,1,案例,0,,0,,0,,0,,0,,0,
256,0,,0,,0,,1,比较(?!.*优势),0,,0,,0,,0,,0,,0,
257,1,介入,0,,0,,1,案例,0,,0,,0,,0,,0,,0,
258,0,,0,,0,,0,,0,,0,,0,,1,政策评估,0,,0,
259,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
260,0,,0,,0,,1,案例,0,,0,,0,,0,,0,,0,
261,0,,0,,0,,1,案例,0,,0,,0,,0,,0,,0,
262,0,,0,,0,,1,案例,0,,0,,0,,0,,0,,1,法治
263,0,,0,,0,,1,案例,0,,0,,0,,0,,0,,0,
264,0,,0,,0,,1,历史(研究|比较)?,0,,0,,0,,0,,0,,0,
265,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
266,0,,0,,0,,0,,0,,1,文本分析,0,,0,,0,,0,
267,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
268,0,,0,,0,,1,历史(研究|比较)?,0,,0,,0,,0,,0,,1,原则
269,0,,0,,0,,1,案例,0,,0,,0,,0,,0,,1,价值
270,0,,0,,0,,1,历史(研究|比较)?,0,,0,,0,,0,,0,,0,
271,0,,0,,0,,1,历史(研究|比较)?,0,,0,,0,,0,,0,,0,
272,0,,0,,0,,1,历史(研究|比较)?,0,,0,,0,,0,,0,,0,
273,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
274,0,,0,,0,,1,案例,0,,0,,1,模型,0,,0,,1,思想
275,0,,0,,0,,1,案例,0,,0,,0,,0,,0,,0,
276,1,介入,0,,0,,1,案例,0,,0,,0,,0,,0,,1,规范性研究
277,0,,0,,0,,1,案例,0,,0,,0,,0,,0,,1,价值
278,0,,0,,0,,1,案例,0,,1,文本分析,0,,0,,0,,1,规范性研究
279,0,,0,,0,,1,案例,0,,0,,0,,0,,0,,1,规范性研究
280,0,,0,,0,,1,案例,1,档案(研究)?,0,,0,,0,,0,,1,原则
281,0,,0,,0,,1,案例,1,档案(研究)?,0,,0,,0,,0,,0,
282,0,,0,,0,,1,案例,0,,1,文本分析,0,,0,,0,,1,规范性研究
283,0,,0,,0,,1,案例,0,,0,,0,,0,,0,,1,规范性研究
284,0,,0,,0,,1,案例,0,,1,文本分析,0,,0,,0,,0,
285,0,,0,,0,,1,案例,0,,0,,0,,0,,0,,1,规范性研究
286,1,干预,0,,0,,1,案例,0,,0,,1,仿真,0,,0,,1,规范性研究
287,0,,0,,0,,1,案例,0,,0,,0,,0,,0,,1,规范性研究
288,0,,0,,0,,1,案例,0,,1,文本分析,0,,0,,1,跨学科,1,规范性研究
289,0,,0,,0,,1,案例,0,,1,文本分析,0,,0,,0,,1,价值
290,0,,0,,0,,1,案例,0,,0,,0,,0,,0,,1,规范性研究
291,1,介入,0,,0,,1,案例,0,,0,,0,,0,,0,,0,
292,0,,0,,0,,1,案例,0,,0,,0,,0,,0,,0,
293,0,,0,,0,,1,案例,0,,1,文本分析,0,,0,,0,,1,法治
294,0,,0,,0,,1,案例,0,,1,文本分析,0,,0,,0,,1,原则
295,0,,0,,0,,1,案例,0,,1,文本分析,0,,0,,0,,1,法治
296,0,,0,,1,调查,1,案例,0,,1,文本分析,0,,0,,0,,1,规范性研究
297,0,,0,,0,,1,案例,0,,0,,0,,0,,0,,1,规范性研究
298,0,,0,,0,,1,案例,0,,0,,0,,0,,1,跨学科,1,价值
299,0,,1,计量,0,,1,案例,0,,0,,0,,0,,1,跨学科,0,
300,0,,0,,0,,1,案例,0,,0,,0,,0,,0,,1,思想
301,0,,1,计量,1,调查,1,案例,0,,1,文本分析,0,,0,,0,,1,规范性研究
302,0,,0,,1,调查,1,案例,0,,1,文本分析,0,,0,,0,,1,原则
303,0,,0,,0,,1,案例,1,档案(研究)?,1,文本分析,0,,0,,0,,1,原则
304,0,,0,,0,,1,案例,0,,0,,0,,0,,0,,1,价值
305,0,,0,,0,,1,案例,0,,0,,0,,0,,0,,1,理论阐释
306,1,实验,0,,0,,1,案例,0,,0,,0,,0,,0,,1,规范性研究
307,1,随机(对照)?,0,,1,调查,1,案例,1,访谈,0,,0,,0,,0,,1,规范性研究
308,0,,0,,0,,1,案例,0,,1,文本分析,0,,0,,0,,1,价值
309,0,,0,,0,,1,案例,1,档案(研究)?,0,,0,,0,,0,,1,原则
